time,open,high,low,close,tick_volume,spread,real_volume,low_time,high_time
2018-12-24 08:00:00,1.26687,1.26809,1.26475,1.26485,14366,10,0,2018-12-24 10:00:00,2018-12-24 09:00:00
2018-12-24 12:00:00,1.26485,1.26938,1.26338,1.26879,22752,12,0,2018-12-24 12:30:00,2018-12-24 15:30:00
2018-12-24 16:00:00,1.2688,1.27378,1.2687,1.27156,32134,12,0,2018-12-24 16:00:00,2018-12-24 18:30:00
2018-12-24 20:00:00,1.27158,1.27302,1.26876,1.26981,2778,4,0,2018-12-24 20:00:00,2018-12-24 20:00:00
2018-12-26 04:00:00,1.27066,1.27074,1.26945,1.26989,6161,4,0,2018-12-26 07:30:00,2018-12-26 06:00:00
2018-12-26 08:00:00,1.26991,1.2714,1.26853,1.26893,7946,3,0,2018-12-26 11:30:00,2018-12-26 08:30:00
2018-12-26 12:00:00,1.26893,1.26905,1.26668,1.26866,8768,8,0,2018-12-26 14:30:00,2018-12-26 12:30:00
2018-12-26 16:00:00,1.26866,1.26977,1.26396,1.26411,12424,12,0,2018-12-26 19:30:00,2018-12-26 17:00:00
2018-12-26 20:00:00,1.26411,1.26502,1.26298,1.26311,7899,12,0,2018-12-26 22:00:00,2018-12-26 21:30:00
2018-12-27 00:00:00,1.26315,1.26604,1.26278,1.26555,18385,12,0,2018-12-27 00:00:00,2018-12-27 02:30:00
2018-12-27 04:00:00,1.26553,1.26658,1.26506,1.26535,23899,12,0,2018-12-27 07:30:00,2018-12-27 06:00:00
2018-12-27 08:00:00,1.26535,1.26639,1.26232,1.26268,26137,12,0,2018-12-27 11:30:00,2018-12-27 10:30:00
2018-12-27 12:00:00,1.26268,1.26513,1.26151,1.26342,26176,12,0,2018-12-27 12:30:00,2018-12-27 14:00:00
2018-12-27 16:00:00,1.2634,1.26742,1.26229,1.26369,30671,12,0,2018-12-27 16:00:00,2018-12-27 17:00:00
2018-12-27 20:00:00,1.26369,1.26577,1.2626,1.26413,13411,5,0,2018-12-27 20:00:00,2018-12-27 20:30:00
2018-12-28 00:00:00,1.26439,1.2657,1.26384,1.26548,9161,12,0,2018-12-28 00:00:00,2018-12-28 03:30:00
2018-12-28 04:00:00,1.26548,1.26714,1.26536,1.26626,8423,12,0,2018-12-28 04:00:00,2018-12-28 05:00:00
2018-12-28 08:00:00,1.26625,1.26687,1.26344,1.26433,11707,12,0,2018-12-28 11:00:00,2018-12-28 08:00:00
2018-12-28 12:00:00,1.26429,1.2698,1.26372,1.26814,17028,12,0,2018-12-28 12:00:00,2018-12-28 14:00:00
